"";"ABBREVIAT";"SPECIES_NR";"LETTERCODE";"RANG";"GRUPPE";"TaxonName";"STATUS_D";"N";"F";"T";"AR";"HEIMAT";"HÄUFIGK";"GEF2006";"FSKNR";"GLOB_RBD";"NAT_RBD";"UEREG_GEF";"RELEVANZ";"UEREG_BED";"HANDLUNG";"GEF1991";"RL_BALT";"RLD";"FFH_Anh";"BARTSCH";"TAX_Ind";"TAX_Bew";"RLPGMV";"FFH1";"FFH2";"FFH3";"FFH4";"FFH_FSP_1";"FFH_FSP_2";"BIOTOP";"BioNr";"BioCode";"BioName";"Para20";"StandCode";"BioTyp1";"BioTyp2";"BioTyp3";"HLRT_WM";"Massn_1";"Massn_2";"Massn_3";"Instrument"
"22";"Aegopodium podagraria";87;"AGPDPOD";"SPE";"S";"Aegopodium podagraria";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Aesculus hippocastanum";89;"ASCLHIP";"SPE";"S";"Aesculus hippocastanum";"I";"4a";4;3;"";"Griechenland";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Aethusa cynapium";94;"ATHSCYN";"SPE";"S";"Aethusa cynapium";"I";"3";3;2;"x";"";"v >";"V";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Agrimonia eupatoria subsp. eupatoria";100;"AGRME-E";"SSP";"S";"Agrimonia eupatoria";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Agrimonia procera";102;"AGRMPRO";"SPE";"S";"Agrimonia procera";"I";"1";1;1;"x";"";"z >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Agropyron cristatum subsp. pectinatum";20147;"AGRPC-P";"SSP";"S";"Agropyron cristatum";"";"4b";3;3;"";"Österreich, SO-EUR, AS";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Agrostemma githago";116;"AGRSGIT";"SPE";"S";"Agrostemma githago";"A";"3";3;2;"x";"";"s, fr v";"1";53;"";"";"!!!";"";4;"!!!";"2";"1";1;"";"";7;"!!";"K18";NA;NA;NA;NA;"Segetal";"";"";"12.1.3";"ACE";"Extensivacker";"-";"33.03.01 /02
33.04.01 /02
33.05.01 /02";"";"";"";"o";"Angepasste Ackerbewirtschaftung";"";"";"bisher keine"
"29";"Agrostemma gracile";93572;"AGRSGRA";"SPE";"S";"Agrostemma gracile";"I";"4b";3;3;"";"griechisch-anatolischer Raum";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Agrostis canina";121;"AGRECAN";"SPE";"S";"Agrostis canina";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Agrostis capillaris";20178;"AGRECAP";"SPE";"S";"Agrostis capillaris";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Agrostis castellana";123;"AGRECAS";"SPE";"S";"Agrostis castellana";"";"4b";3;3;"";"Mittelmeergebiet";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Agrostis gigantea";128;"AGREGIG";"SPE";"S";"Agrostis gigantea";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Agrostis stolonifera";129;"AGRESTO";"SPE";"S";"Agrostis stolonifera";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Agrostis vinealis";20684;"AGREVIN";"SPE";"S";"Agrostis vinealis";"I";"1";1;1;"x";"";"s";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";7;"!!";"21.1.1.2";2330;NA;NA;NA;"";"";"x";"8.1.1";"TPS";"Pionier-Sandflur saurer Standorte";"§ 20";"34.04.02";"T21";"";"";"T1";"Pflegende Nutzung und Offenhaltung von Trockenstandorten";"Duldung landschaftsdynamischer Prozesse";"";"Naturschutzgerechte Grünlandnutzung, Landschaftspflege"
"36";"Ailanthus altissima";131;"ALNTALT";"SPE";"S";"Ailanthus altissima";"I";"4a";4;3;"";"N-China";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Aira caryophyllea subsp. caryophyllea";20218;"AIRAC-C";"SSP";"S";"Aira caryophyllea";"I";"1";1;1;"x";"";"z >";"3";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Aira elegantissima";20225;"AIRAELE";"SPE";"S";"Aira elegantissima";"";"4b";3;3;"";"Mittelmeergebiet, Balkan";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Aira praecox";136;"AIRAPRA";"SPE";"S";"Aira praecox";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ajuga chamaepitys";137;"AJUGCHA";"SPE";"S";"Ajuga chamaepitys";"";"4b";3;3;"D";"";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";3;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Ajuga genevensis";138;"AJUGGEN";"SPE";"S";"Ajuga genevensis";"I";"1";1;1;"N x";"";"z >";"3";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Ajuga pyramidalis";140;"AJUGPYR";"SPE";"S";"Ajuga pyramidalis";"I";"1";1;1;"W x";"";"fr s";"0";NA;"";"";"!";"";NA;"";"0";"3";3;"";"";4;"!";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Ajuga reptans";141;"AJUGREP";"SPE";"S";"Ajuga reptans";"I";"1";1;1;"x";"";"v >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Alcea rosea";143;"ALCEROS";"SPE";"S";"Alcea rosea";"";"4b";4;3;"";"vermutlich Orient";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Alchemilla filicaulis";227;"ALCHFIL";"SPE";"S";"Alchemilla filicaulis";"I";"1";1;1;"x";"";"s";"2";NA;"";"";"";"";NA;"";"1";"";NA;"";"";2;"2";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Alchemilla glabra";235;"ALCHALA";"SPE";"S";"Alchemilla glabra";"I";"1";1;1;"x";"";"z >, fr v";"2";NA;"";"";"";"";NA;"";"2";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Alchemilla glaucescens";195;"ALCHGLA";"SPE";"S";"Alchemilla glaucescens";"I";"1";1;1;"x";"";"s, fr z";"1";NA;"";"";"";"";NA;"";"1";"";3;"";"";2;"";"V22.1.1";NA;NA;NA;NA;"6210";"";"";"8.3.1";"TKH";"Basiphiler Halbtrockenrasen";"§ 20";"34.02.01.02";"T22, L14";"";"";"T1";"Pflegende Nutzung und Offenhaltung von Trockenstandorten";"";"";"Naturschutzgerechte Grünlandnutzung, Landschaftspflege"
"48";"Alchemilla micans";20278;"ALCHMIC";"SPE";"S";"Alchemilla micans";"I";"1";1;1;"x";"";"s";"2";NA;"";"";"";"";NA;"";"2";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Alchemilla mollis";200;"ALCHMOL";"SPE";"S";"Alchemilla mollis";"";"4b";4;3;"";"SO-EUR, Kleinasien, Kaukasus, Iran";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Alchemilla monticola";245;"ALCHMON";"SPE";"S";"Alchemilla monticola";"I";"1";1;1;"x";"";"s, fr z";"1";NA;"";"";"";"";NA;"";"1";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51";"Alchemilla subcrenata";265;"ALCHSUB";"SPE";"S";"Alchemilla subcrenata";"I";"1";1;1;"x";"";"ss";"0";NA;"";"";"";"";NA;"";"1";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"52";"Alchemilla vulgaris";26467;"ALCHVUL";"SPE";"S";"Alchemilla vulgaris";"I";"1";1;1;"x";"";"ss, fr s";"0";NA;"";"";"";"";NA;"";"1";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"53";"Alchemilla xanthochlora";273;"ALCHXAN";"SPE";"S";"Alchemilla xanthochlora";"I";"1";1;1;"x";"";"s, fr z";"1";NA;"";"";"";"";NA;"";"1";"";NA;"";"";2;"2";"";NA;NA;NA;NA;"Feuchtwiesen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"54";"Alisma gramineum";276;"ALSMGRA";"SPE";"S";"Alisma gramineum";"I";"1";1;1;"NW x";"";"s";"1";NA;"";"";"";"";NA;"";"1";"3";NA;"";"";5;"!!";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"55";"Alisma lanceolatum";277;"ALSMLAN";"SPE";"S";"Alisma lanceolatum";"I";"1";1;1;"N x";"";"s";"2";NA;"";"";"";"";NA;"";"1";"2";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"56";"Alliaria petiolata";280;"ALLRPET";"SPE";"S";"Alliaria petiolata";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"57";"Allium angulosum";284;"ALLMANG";"SPE";"S";"Allium angulosum";"I";"1";1;1;"N x";"";"s";"2";227;"";"";"";"§";1;"!";"2";"";3;"";"§";2;"";"21.4.3.3";6120;NA;NA;NA;"";"";"x";"8.1.2";"TPB";"Pionier-Sandflur basen- und kalkreicher Standorte";"§ 20";"34.01.01.02
(34.04)";"T21";"";"";"T1";"Pflegende Nutzung und Offenhaltung von Trockenstandorten";"Duldung landschaftsdynamischer Prozesse";"";"Naturschutzgerechte Grünlandnutzung, Landschaftspflege"
"58";"Allium carinatum";287;"ALLMCAR";"SPE";"S";"Allium carinatum";"I";"3";3;3;"";"S- und südl. M-EUR";"ss, fr s";"1";NA;"";"";"!!";"";NA;"";"";"2";3;"";"";2;"2";"";NA;NA;NA;NA;"Ruderalvegetation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"59";"Allium lusitanicum";12708;"ALLMLUS";"SPE";"S";"Allium lusitanicum";"I";"1";1;1;"N Vp";"";"ss, fr s";"1";180;"";"";"";"§";1;"!!";"1";"3";NA;"";"§";2;"";"O22.2";NA;NA;NA;NA;"1220";"";"";"3.6.12";"KSR";"Kiesstrand mit ausdauernder Vegetation";"§ 20";"09.03.02";"W52, W62";"";"";"K3";"Ungestörte Naturentwicklung naturnaher Küstenabschnitte";"";"";"Kernzonen Schutzgebiete"
"60";"Allium oleraceum";300;"ALLMOLE";"SPE";"S";"Allium oleraceum";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"61";"Allium paradoxum";307;"ALLMPAR";"SPE";"S";"Allium paradoxum";"I";"3";3;3;"";"Kaukasus, Iran";"s <";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"62";"Allium schoenoprasum subsp. schoenoprasum";6582;"ALLMSCH";"SSP";"S";"Allium schoenoprasum";"I";"1";1;1;"O x";"";"s (indigene Sippe), v verwil";"R";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"21.4.3.3";6120;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"63";"Allium scorodoprasum";312;"ALLMSCO";"SPE";"S";"Allium scorodoprasum";"I";"1";1;1;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"64";"Allium sphaerocephalon subsp. sphaerocephalon";26140;"ALLMS-S";"SSP";"S";"Allium sphaerocephalon";"";"4b";4;3;"";"N-EUR, Mittelmeergebiet bis Kaukasus";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"65";"Allium ursinum subsp. ursinum";26141;"ALLMU-U";"SSP";"S";"Allium ursinum";"I";"2";4;2;"D";"";"z <";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"66";"Alnus glutinosa";325;"ALNSGLU";"SPE";"S";"Alnus glutinosa";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"67";"Alnus incana";326;"ALNSINC";"SPE";"S";"Alnus incana";"I";"2";4;3;"D";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"68";"Alopecurus aequalis";329;"ALPCAEQ";"SPE";"S";"Alopecurus aequalis";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"69";"Alopecurus arundinaceus subsp. exserens";32205;"ALPCA-E";"SSP";"S";"Alopecurus arundinaceus subsp. exserens";"I";"1";1;1;"W x";"";"s";"R";203;"!!!";"!!!";"!!!";"";11;"(!!!)";"1";"";1;"";"";4;"!";"23.2.1.2";NA;NA;NA;NA;"1330";"";"";"3.4.3";"KGO";"Oligohalines Salzgrünland";"§ 20";"08.02, 08.05";"L15";"";"KVR";"K4";"Pflegende Nutzung von Salzwiesen der Küste mit natürlichem Überflutungsregime";"";"";"Naturschutzgerechte Grünlandnutzung"
"70";"Alopecurus bulbosus";330;"ALPCBUL";"SPE";"S";"Alopecurus bulbosus";"";"4b";3;3;"";"Mittelmeergebiet, Küsten von W-EUR bis NW-D";"ss adventiv";"k. A.";NA;"";"";"!";"";NA;"";"";"";2;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"71";"Alopecurus geniculatus";331;"ALPCGEN";"SPE";"S";"Alopecurus geniculatus";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"72";"Alopecurus myosuroides";333;"ALPCMYO";"SPE";"S";"Alopecurus myosuroides";"A";"3";3;2;"O x";"";"s, fr z";"uu";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"73";"Alopecurus pratensis subsp. pratensis";20340;"ALPCP-P";"SSP";"S";"Alopecurus pratensis subsp. pratensis";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"74";"Alopecurus pratensis subsp. pseudonigricans";20341;"ALPCI-P";"SSP";"S";"Alopecurus pratensis subsp. pseudonigricans";"";"4b";3;3;"fehlt";"";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"D";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"75";"Alopecurus rendlei";20342;"ALPCREN";"SPE";"S";"Alopecurus rendlei";"";"4b";3;3;"";"Mittelmeergebiet und W-EUR";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"76";"Althaea officinalis";340;"ALTHOFF";"SPE";"S";"Althaea officinalis";"I";"1";1;1;"O x";"";"s <";"3";214;"";"";"!";"§";3;"!";"2";"3";3;"";"§";5;"!!";"x";1330;NA;NA;NA;"";"";"x";"3.5.2.";"KVH";"Brackwasserbeeinflusste Hochstaudenflur";"§ 20";"8.03";"-";"KVR";"";"K3";"Ungestörte Naturentwicklung naturnaher Küstenabschnitte";"";"";"Kernzonen Schutzgebiete"
"77";"Alyssum alyssoides";345;"ALYSALY";"SPE";"S";"Alyssum alyssoides";"I";"2";2;3;"x";"";"z";"3";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"78";"Alyssum murale";351;"ALYSMUR";"SPE";"S";"Alyssum murale";"";"4a";4;3;"";"O- und SO-EUR, Kaukasus, SW-AS";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"79";"Alyssum parviflorum";93573;"ALYSPAR";"SPE";"S";"Alyssum parviflorum";"I";"4b";3;3;"";"W- und S-EUR, Krim, Kaukasus bis Iran, Turkestan";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"80";"Alyssum saxatile";354;"AURNSAX";"SPE";"S";"Alyssum saxatile";"";"4b";4;3;"D";"";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";3;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"81";"Amaranthus albus";357;"AMRNALB";"SPE";"S";"Amaranthus albus";"N";"3";3;3;"";"südl. USA und Mexiko";"s, z adventiv";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
